[ 3849.854339] [i] Total hammer attempts per row: 506519
[ 3849.855621] EMIF 2 REG Write 0x00000618 at 0x4d000010
[ 3849.855621] EMIF 2 REG Read 0x00000618 at 0x4d000010
[ 3849.855651] EMIF 2 REG Write 0x00000618 at 0x4d000014
[ 3849.855651] EMIF 2 REG Read 0x00000618 at 0x4d000014
[ 3849.855682] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[ 3849.855682] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[ 3849.855712] Temp polling alert enabled
[ 3849.855712] Refresh enabled at EMIF2
[ 3849.855712] [i] Starting PUF read-out
[ 3849.855743] [i] Single-Sided Rowhammer (SSRH)
[ 3849.855743] PUF Read:0xaaaa2aaa at 0xa0008000
[ 3849.855773] PUF Read:0xaaaaaaaa at 0xa0008004
[ 3849.855804] PUF Read:0xaaaaaaaa at 0xa0008008
[ 3849.855804] PUF Read:0xa2aaaa2a at 0xa000800c
[ 3849.855804] PUF Read:0xaaaaaaaa at 0xa0008010
[ 3849.855804] PUF Read:0x8aaaabaa at 0xa0008014
[ 3849.855895] PUF Read:0xaaaa2aaa at 0xa0008018
[ 3849.855895] PUF Read:0xaaa2aaaa at 0xa000801c
[ 3849.855957] PUF Read:0xaaaaaaaa at 0xa0008020
[ 3849.855987] PUF Read:0xeaaaeaaa at 0xa0008024
[ 3849.855987] PUF Read:0xaaaaaaaa at 0xa0008028
[ 3849.855987] PUF Read:0xaaaaaaba at 0xa000802c
[ 3849.856048] PUF Read:0xaaaaaaa8 at 0xa0008030
[ 3849.856048] PUF Read:0xaeaaaaaa at 0xa0008034
[ 3849.856109] PUF Read:0xaaaaeaaa at 0xa0008038
[ 3849.856140] PUF Read:0xaaaaaaaa at 0xa000803c
[ 3849.856140] PUF Read:0xaaaaaaab at 0xa0008040
[ 3849.856201] PUF Read:0xaaaaeaaa at 0xa0008044
[ 3849.856201] PUF Read:0xaaaaaaaa at 0xa0008048
[ 3849.856201] PUF Read:0xaaaaaaa8 at 0xa000804c
[ 3849.856262] PUF Read:0xa2aaaaaa at 0xa0008050
[ 3849.856292] PUF Read:0xaaaaa8aa at 0xa0008054
[ 3849.856292] PUF Read:0xaaaaaa8a at 0xa0008058
[ 3849.856353] PUF Read:0xaaaaaaaa at 0xa000805c
[ 3849.856353] PUF Read:0xaaaaaaaa at 0xa0008060
[ 3849.856353] PUF Read:0xaaaa2aaa at 0xa0008064
[ 3849.856414] PUF Read:0xaaaaaaaa at 0xa0008068
[ 3849.856445] PUF Read:0xaaaaaaaa at 0xa000806c
[ 3849.856445] PUF Read:0xaaaaaaaa at 0xa0008070
[ 3849.856445] PUF Read:0xaaaaaaaa at 0xa0008074
[ 3849.856506] PUF Read:0xaaaaaaaa at 0xa0008078
[ 3849.856506] PUF Read:0xaaabaaaa at 0xa000807c
[ 3849.856567] PUF Read:0xaaabaaaa at 0xa0008080
[ 3849.856597] PUF Read:0xaaaaaaaa at 0xa0008084
[ 3849.856597] PUF Read:0xaaaaaaaa at 0xa0008088
[ 3849.856597] PUF Read:0xaaaaaaaa at 0xa000808c
[ 3849.856597] PUF Read:0xaaaa8aaa at 0xa0008090
[ 3849.856597] PUF Read:0xaaaaaaaa at 0xa0008094
[ 3849.856597] PUF Read:0x2aabaaab at 0xa0008098
[ 3849.856750] PUF Read:0xaaaaaaaa at 0xa000809c
[ 3849.856750] PUF Read:0x8aaaaa2a at 0xa00080a0
[ 3849.856811] PUF Read:0xaaabaaaa at 0xa00080a4
[ 3849.856811] PUF Read:0xaa8aaaab at 0xa00080a8
[ 3849.856811] PUF Read:0x8aaa8aea at 0xa00080ac
[ 3849.856811] PUF Read:0xaaaaaaaa at 0xa00080b0
[ 3849.856903] PUF Read:0x2a2aaaaa at 0xa00080b4
[ 3849.856903] PUF Read:0xaaaaeaaa at 0xa00080b8
[ 3849.856903] PUF Read:0x8aaaaaaa at 0xa00080bc
[ 3849.856903] PUF Read:0xaaaaaaaa at 0xa00080c0
[ 3849.856903] PUF Read:0xaaaaaaaa at 0xa00080c4
[ 3849.856903] PUF Read:0xaaa2aaaa at 0xa00080c8
[ 3849.857055] PUF Read:0xabaaaaaa at 0xa00080cc
[ 3849.857055] PUF Read:0xeaaeeaaa at 0xa00080d0
[ 3849.857116] PUF Read:0xaaaa2aa8 at 0xa00080d4
[ 3849.857116] PUF Read:0xaaaa3aaa at 0xa00080d8
[ 3849.857116] PUF Read:0xaaaaaaaa at 0xa00080dc
[ 3849.857177] PUF Read:0xabaaaaaa at 0xa00080e0
[ 3849.857208] PUF Read:0xaaaaaaaa at 0xa00080e4
[ 3849.857208] PUF Read:0xaaaaaaaa at 0xa00080e8
[ 3849.857269] PUF Read:0xaaaaaaab at 0xa00080ec
[ 3849.857269] PUF Read:0x8aaaaaaa at 0xa00080f0
[ 3849.857269] PUF Read:0xaaaaaaaa at 0xa00080f4
[ 3849.857330] PUF Read:0xaaaaabaa at 0xa00080f8
[ 3849.857360] PUF Read:0xaa8aaaaa at 0xa00080fc
[ 3849.857360] PUF Read:0xaaaaa8aa at 0xa0008100
[ 3849.857360] PUF Read:0xaaaaaaaa at 0xa0008104
