[ 4390.776031] [i] Total hammer attempts per row: 506408
[ 4390.776062] EMIF 2 REG Write 0x00000618 at 0x4d000010
[ 4390.776062] EMIF 2 REG Read 0x00000618 at 0x4d000010
[ 4390.776092] EMIF 2 REG Write 0x00000618 at 0x4d000014
[ 4390.776092] EMIF 2 REG Read 0x00000618 at 0x4d000014
[ 4390.776123] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[ 4390.776123] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[ 4390.776123] Temp polling alert enabled
[ 4390.776153] Refresh enabled at EMIF2
[ 4390.776153] [i] Starting PUF read-out
[ 4390.776153] [i] Single-Sided Rowhammer (SSRH)
[ 4390.776184] PUF Read:0xaaaa2aaa at 0xa0008000
[ 4390.776214] PUF Read:0xaaaaaaaa at 0xa0008004
[ 4390.776214] PUF Read:0xaaaaaaaa at 0xa0008008
[ 4390.776214] PUF Read:0xa2aaaa2a at 0xa000800c
[ 4390.776214] PUF Read:0xaaaaaaaa at 0xa0008010
[ 4390.776214] PUF Read:0x8aaaabaa at 0xa0008014
[ 4390.776214] PUF Read:0xaaaa2aaa at 0xa0008018
[ 4390.776214] PUF Read:0xaaa0aaaa at 0xa000801c
[ 4390.776397] PUF Read:0xaaaaaaaa at 0xa0008020
[ 4390.776428] PUF Read:0xeaaaeaaa at 0xa0008024
[ 4390.776428] PUF Read:0xaaaaaaaa at 0xa0008028
[ 4390.776428] PUF Read:0xaaaaaaba at 0xa000802c
[ 4390.776489] PUF Read:0xeaaaaaa8 at 0xa0008030
[ 4390.776489] PUF Read:0xaeaaaaaa at 0xa0008034
[ 4390.776550] PUF Read:0xaaaaeaaa at 0xa0008038
[ 4390.776580] PUF Read:0xaaaaaaaa at 0xa000803c
[ 4390.776580] PUF Read:0xaaaaaaab at 0xa0008040
[ 4390.776580] PUF Read:0xaaaaeaaa at 0xa0008044
[ 4390.776641] PUF Read:0xaaaaaaaa at 0xa0008048
[ 4390.776641] PUF Read:0xaaaaaaa8 at 0xa000804c
[ 4390.776702] PUF Read:0xa2aaaaaa at 0xa0008050
[ 4390.776733] PUF Read:0xaaaaa8aa at 0xa0008054
[ 4390.776733] PUF Read:0xaaaaaa8a at 0xa0008058
[ 4390.776794] PUF Read:0xaaaaaaaa at 0xa000805c
[ 4390.776794] PUF Read:0xaaaaaaaa at 0xa0008060
[ 4390.776794] PUF Read:0xaaba2aaa at 0xa0008064
[ 4390.776855] PUF Read:0xaaaaaaaa at 0xa0008068
[ 4390.776885] PUF Read:0xaaaaaaaa at 0xa000806c
[ 4390.776885] PUF Read:0xaaaaaaaa at 0xa0008070
[ 4390.776947] PUF Read:0xaaaaaaaa at 0xa0008074
[ 4390.776947] PUF Read:0xaaaaaaaa at 0xa0008078
[ 4390.776947] PUF Read:0xaaabaaaa at 0xa000807c
[ 4390.777008] PUF Read:0xaaabaaaa at 0xa0008080
[ 4390.777038] PUF Read:0xaaaaaaaa at 0xa0008084
[ 4390.777038] PUF Read:0xaaaaaaaa at 0xa0008088
[ 4390.777099] PUF Read:0xaaaaaaaa at 0xa000808c
[ 4390.777099] PUF Read:0xaaaa8aaa at 0xa0008090
[ 4390.777099] PUF Read:0xbaaaaaaa at 0xa0008094
[ 4390.777160] PUF Read:0x2aabaaab at 0xa0008098
[ 4390.777191] PUF Read:0xaaaaaaaa at 0xa000809c
[ 4390.777191] PUF Read:0x8aaaaa2a at 0xa00080a0
[ 4390.777191] PUF Read:0xaaabaaaa at 0xa00080a4
[ 4390.777252] PUF Read:0xaa8baaab at 0xa00080a8
[ 4390.777252] PUF Read:0x8aaa8aea at 0xa00080ac
[ 4390.777313] PUF Read:0xaaaaaaaa at 0xa00080b0
[ 4390.777343] PUF Read:0x2a2aaaaa at 0xa00080b4
[ 4390.777343] PUF Read:0xaaaaeaaa at 0xa00080b8
[ 4390.777343] PUF Read:0x8aaaaaaa at 0xa00080bc
[ 4390.777404] PUF Read:0xaaaaaeaa at 0xa00080c0
[ 4390.777404] PUF Read:0xaaaaaaaa at 0xa00080c4
[ 4390.777465] PUF Read:0xaaa2aaaa at 0xa00080c8
[ 4390.777496] PUF Read:0xabaaaaaa at 0xa00080cc
