[40110.269836] [i] Total hammer attempts per row: 506749
[40110.269866] EMIF 2 REG Write 0x00000618 at 0x4d000010
[40110.269866] EMIF 2 REG Read 0x00000618 at 0x4d000010
[40110.269897] EMIF 2 REG Write 0x00000618 at 0x4d000014
[40110.269897] EMIF 2 REG Read 0x00000618 at 0x4d000014
[40110.269927] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[40110.269927] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[40110.269927] Temp polling alert enabled
[40110.269958] Refresh enabled at EMIF2
[40110.269958] [i] Starting PUF read-out
[40110.269958] [i] Single-Sided Rowhammer (SSRH)
[40110.269989] PUF Read:0x00000010 at 0xa0008000
[40110.269989] PUF Read:0x00000400 at 0xa0008004
[40110.269989] PUF Read:0x00000000 at 0xa0008008
[40110.269989] PUF Read:0x00000000 at 0xa000800c
[40110.270080] PUF Read:0x00000000 at 0xa0008010
[40110.270080] PUF Read:0x00000100 at 0xa0008014
[40110.270080] PUF Read:0x00000000 at 0xa0008018
[40110.270172] PUF Read:0x10000000 at 0xa000801c
[40110.270172] PUF Read:0x00000000 at 0xa0008020
[40110.270172] PUF Read:0x40004000 at 0xa0008024
[40110.270172] PUF Read:0x00004000 at 0xa0008028
[40110.270263] PUF Read:0x00000010 at 0xa000802c
[40110.270263] PUF Read:0x40000000 at 0xa0008030
[40110.270324] PUF Read:0x04000000 at 0xa0008034
[40110.270355] PUF Read:0x00004000 at 0xa0008038
[40110.270355] PUF Read:0x00000000 at 0xa000803c
[40110.270355] PUF Read:0x00000001 at 0xa0008040
[40110.270416] PUF Read:0x00004000 at 0xa0008044
[40110.270416] PUF Read:0x00000000 at 0xa0008048
[40110.270477] PUF Read:0x00000001 at 0xa000804c
[40110.270507] PUF Read:0x00000000 at 0xa0008050
[40110.270507] PUF Read:0x00000000 at 0xa0008054
[40110.270507] PUF Read:0x00000000 at 0xa0008058
[40110.270568] PUF Read:0x00000000 at 0xa000805c
[40110.270568] PUF Read:0x00000000 at 0xa0008060
[40110.270629] PUF Read:0x00100000 at 0xa0008064
[40110.270660] PUF Read:0x00000000 at 0xa0008068
[40110.270660] PUF Read:0x00000000 at 0xa000806c
[40110.270721] PUF Read:0x00000000 at 0xa0008070
[40110.270721] PUF Read:0x00000000 at 0xa0008074
[40110.270721] PUF Read:0x00000000 at 0xa0008078
[40110.270721] PUF Read:0x00010000 at 0xa000807c
[40110.270812] PUF Read:0x00010000 at 0xa0008080
[40110.270812] PUF Read:0x00000000 at 0xa0008084
[40110.270812] PUF Read:0x00000000 at 0xa0008088
[40110.270812] PUF Read:0x00000000 at 0xa000808c
[40110.270812] PUF Read:0x00000000 at 0xa0008090
[40110.270812] PUF Read:0x10000000 at 0xa0008094
[40110.270965] PUF Read:0x00410001 at 0xa0008098
