[ 5131.299438] [i] Total hammer attempts per row: 1637815
[ 5131.299468] EMIF 2 REG Write 0x00000618 at 0x4d000010
[ 5131.299468] EMIF 2 REG Read 0x00000618 at 0x4d000010
[ 5131.299499] EMIF 2 REG Write 0x00000618 at 0x4d000014
[ 5131.299499] EMIF 2 REG Read 0x00000618 at 0x4d000014
[ 5131.299499] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[ 5131.299530] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[ 5131.299530] Temp polling alert enabled
[ 5131.299530] Refresh enabled at EMIF2
[ 5131.299560] [i] Starting PUF read-out
[ 5131.299560] [i] Single-Sided Rowhammer (SSRH)
[ 5131.299591] PUF Read:0x00000010 at 0xa0008000
[ 5131.299591] PUF Read:0x00000400 at 0xa0008004
[ 5131.299591] PUF Read:0x00000000 at 0xa0008008
[ 5131.299591] PUF Read:0x00000000 at 0xa000800c
[ 5131.299682] PUF Read:0x00000000 at 0xa0008010
[ 5131.299682] PUF Read:0x00000100 at 0xa0008014
[ 5131.299743] PUF Read:0x00000000 at 0xa0008018
[ 5131.299774] PUF Read:0x10400100 at 0xa000801c
[ 5131.299774] PUF Read:0x40000000 at 0xa0008020
[ 5131.299774] PUF Read:0x40004000 at 0xa0008024
[ 5131.299835] PUF Read:0x00004000 at 0xa0008028
[ 5131.299835] PUF Read:0x00000010 at 0xa000802c
[ 5131.299896] PUF Read:0x40000000 at 0xa0008030
[ 5131.299926] PUF Read:0x04000000 at 0xa0008034
[ 5131.299926] PUF Read:0x00004000 at 0xa0008038
[ 5131.299926] PUF Read:0x00000000 at 0xa000803c
[ 5131.299926] PUF Read:0x00000001 at 0xa0008040
[ 5131.299926] PUF Read:0x00004000 at 0xa0008044
[ 5131.299926] PUF Read:0x00000010 at 0xa0008048
[ 5131.300079] PUF Read:0x00000001 at 0xa000804c
[ 5131.300079] PUF Read:0x00000000 at 0xa0008050
[ 5131.300079] PUF Read:0x00000000 at 0xa0008054
[ 5131.300079] PUF Read:0x00000000 at 0xa0008058
[ 5131.300079] PUF Read:0x00000000 at 0xa000805c
[ 5131.300079] PUF Read:0x00000000 at 0xa0008060
[ 5131.300231] PUF Read:0x00100000 at 0xa0008064
[ 5131.300231] PUF Read:0x00000000 at 0xa0008068
[ 5131.300231] PUF Read:0x00000000 at 0xa000806c
[ 5131.300231] PUF Read:0x00000000 at 0xa0008070
[ 5131.300231] PUF Read:0x00000000 at 0xa0008074
[ 5131.300354] PUF Read:0x00000000 at 0xa0008078
[ 5131.300384] PUF Read:0x00010000 at 0xa000807c
[ 5131.300384] PUF Read:0x00010000 at 0xa0008080
[ 5131.300384] PUF Read:0x00000000 at 0xa0008084
[ 5131.300384] PUF Read:0x00000000 at 0xa0008088
[ 5131.300384] PUF Read:0x00000000 at 0xa000808c
[ 5131.300384] PUF Read:0x00000000 at 0xa0008090
[ 5131.300537] PUF Read:0x10000000 at 0xa0008094
[ 5131.300567] PUF Read:0x00410001 at 0xa0008098
[ 5131.300567] PUF Read:0x00000000 at 0xa000809c
[ 5131.300628] PUF Read:0x00000000 at 0xa00080a0
[ 5131.300628] PUF Read:0x00010000 at 0xa00080a4
[ 5131.300628] PUF Read:0x00000001 at 0xa00080a8
[ 5131.300689] PUF Read:0x00000040 at 0xa00080ac
[ 5131.300720] PUF Read:0x00000000 at 0xa00080b0
[ 5131.300720] PUF Read:0x00000000 at 0xa00080b4
[ 5131.300720] PUF Read:0x00004000 at 0xa00080b8
[ 5131.300781] PUF Read:0x00000000 at 0xa00080bc
[ 5131.300781] PUF Read:0x00000400 at 0xa00080c0
[ 5131.300842] PUF Read:0x00000000 at 0xa00080c4
[ 5131.300872] PUF Read:0x10100000 at 0xa00080c8
[ 5131.300872] PUF Read:0x01000000 at 0xa00080cc
