[ 1170.346496] [i] Total hammer attempts per row: 506418
[ 1170.346527] EMIF 2 REG Write 0x00000618 at 0x4d000010
[ 1170.346527] EMIF 2 REG Read 0x00000618 at 0x4d000010
[ 1170.346557] EMIF 2 REG Write 0x00000618 at 0x4d000014
[ 1170.346557] EMIF 2 REG Read 0x00000618 at 0x4d000014
[ 1170.346588] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[ 1170.346588] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[ 1170.346618] Temp polling alert enabled
[ 1170.346618] Refresh enabled at EMIF2
[ 1170.346618] [i] Starting PUF read-out
[ 1170.346618] [i] Single-Sided Rowhammer (SSRH)
[ 1170.346649] PUF Read:0x00000010 at 0xa0008000
[ 1170.346679] PUF Read:0x00000400 at 0xa0008004
[ 1170.346710] PUF Read:0x00000000 at 0xa0008008
[ 1170.346740] PUF Read:0x00000000 at 0xa000800c
[ 1170.346740] PUF Read:0x00000000 at 0xa0008010
[ 1170.346740] PUF Read:0x00000100 at 0xa0008014
[ 1170.346801] PUF Read:0x00000000 at 0xa0008018
[ 1170.346801] PUF Read:0x10000000 at 0xa000801c
[ 1170.346862] PUF Read:0x00000000 at 0xa0008020
[ 1170.346893] PUF Read:0x40004000 at 0xa0008024
[ 1170.346893] PUF Read:0x00004000 at 0xa0008028
[ 1170.346893] PUF Read:0x00000010 at 0xa000802c
[ 1170.346893] PUF Read:0x40000000 at 0xa0008030
[ 1170.346893] PUF Read:0x04000000 at 0xa0008034
[ 1170.346893] PUF Read:0x00004000 at 0xa0008038
[ 1170.347045] PUF Read:0x00000000 at 0xa000803c
[ 1170.347076] PUF Read:0x00000001 at 0xa0008040
[ 1170.347076] PUF Read:0x00004000 at 0xa0008044
[ 1170.347076] PUF Read:0x00000000 at 0xa0008048
[ 1170.347137] PUF Read:0x00000001 at 0xa000804c
[ 1170.347137] PUF Read:0x00000000 at 0xa0008050
[ 1170.347198] PUF Read:0x00000000 at 0xa0008054
[ 1170.347229] PUF Read:0x00000000 at 0xa0008058
[ 1170.347229] PUF Read:0x00000000 at 0xa000805c
[ 1170.347229] PUF Read:0x00000000 at 0xa0008060
[ 1170.347290] PUF Read:0x00100000 at 0xa0008064
[ 1170.347290] PUF Read:0x00000000 at 0xa0008068
[ 1170.347351] PUF Read:0x00000000 at 0xa000806c
[ 1170.347381] PUF Read:0x00000000 at 0xa0008070
